id,numberofopencreditlinesandloans,numberoftimes90dayslate,numberrealestateloansorlines,numberoftime60_89dayspastduenotworse,numberofdependents,y
59111,18,1,6,0,0,1
89892,15,1,3,0,0,1
46690,0,1,0,0,0,1
73462,3,2,2,0,0,1
26348,8,0,1,0,1,0
75732,9,0,1,0,2,0
66176,9,0,2,0,3,1
46355,1,1,1,0,2,1
91730,13,0,4,0,1,0
22279,7,0,0,2,3,1
16641,1,1,0,0,4,1
27294,6,0,0,0,1,0
48846,9,0,0,0,0,0
53955,0,98,0,98,0,1
82303,8,0,0,1,2,0
4210,10,0,1,0,0,0
59553,4,0,0,0,0,1
44400,20,0,5,0,2,1
29844,9,4,0,0,0,1
5515,13,0,2,0,1,0
16655,9,0,0,0,1,0
57086,22,0,3,0,0,0
67844,10,0,0,0,0,0
76079,6,0,0,3,0,1
1432,12,0,0,0,0,0
45359,4,0,0,0,0,1
53193,8,0,1,0,0,1
54624,6,0,0,0,0,1
28880,2,0,0,0,0,1
40510,5,3,0,1,1,1
70009,7,0,1,0,1,0
61384,6,0,1,0,0,0
22135,7,0,1,0,4,1
10898,10,0,2,0,1,0
59329,9,0,2,0,1,0
60329,4,0,2,0,3,0
9559,1,0,0,1,0,1
56432,2,0,0,0,0,0
88850,19,0,9,0,0,1
59846,13,0,0,0,0,0
93928,5,4,0,4,1,1
96216,8,0,1,0,0,0
74460,17,0,1,0,0,0
51156,4,0,1,1,3,1
93120,2,1,0,0,0,1
10493,3,0,2,0,0,0
74236,5,0,0,0,0,0
15621,17,0,3,0,0,0
65987,9,1,0,1,1,1
70906,7,0,1,0,0,0
96487,5,0,0,0,0,0
99446,8,0,0,0,0,0
35420,4,2,0,0,0,1
40541,6,0,1,0,3,0
30290,5,0,0,0,0,0
91162,0,98,0,98,1,1
7906,7,0,0,0,0,0
48031,6,0,0,0,0,0
83758,2,1,0,0,3,1
98586,5,1,0,3,0,1
76364,9,0,0,0,0,0
90620,3,0,1,0,0,0
18777,2,0,0,0,4,1
70821,0,0,0,0,0,1
82576,5,0,0,0,0,0
54000,21,0,1,0,4,0
89294,8,0,3,0,0,0
88137,6,0,0,0,0,1
78274,12,0,1,0,5,1
51027,4,0,1,0,2,1
92240,8,1,1,2,4,0
18331,10,0,0,0,3,1
82016,12,0,2,0,1,0
97272,7,0,0,0,0,1
83780,16,0,1,0,1,0
